title,content
Como realizar a busca de academias disponíveis nos planos pelo app?,"Para verificar quais são as academias disponíveis em cada plano, basta acessar a aba de academias no app e aplicar os filtros que preferir.

"
Como realizar a busca de academias disponíveis pelo site?,"É possível também conferir no nosso site as academias disponíveis em cada plano, é bem simples. Acesse esse link e escolha os filtros para a sua busca: https://totalpass.com/br/mapa/"
Quantas vezes por dia o colaborador pode ir na academia?,"Com a TotalPass, cada colaborador pode aproveitar a academia uma vez por dia. Isso significa que é possível realizar um check-in diário para usar a academia.
Bons treinos!"
Como funciona o benefício?,"Para oferecer a TotalPass, a empresa realiza um investimento mensal que varia de acordo com o número total de colaboradores da empresa (seu quadro de funcionários). Cada funcionário pode escolher entre 11 planos e pagar uma mensalidade fixa para utilizar o benefício, com direito a uma utilização por dia.
Vem fazer parte dessa jornada fitness conosco!"
Quais são os planos disponíveis para o meu colaborador?,"Oferecemos 11 planos diferentes para os colaboradores, com opções a partir de R$ 39,90.

Se precisar de mais informações, estamos aqui para ajudar!"
Como funciona o atendimento para colaboradores?,"Os colaboradores podem nos contatar facilmente pelo chat no site TotalPass, assim como você está fazendo, ou acessar nossa central de ajuda na Central de Ajuda: https://ajuda.totalpass.com.br/hc/pt-br "
Onde encontrar Informações sobre o gerenciamento do benefício TotalPass.,"Se surgir alguma dúvida, nosso time estará pronto para ajudar por aqui! Caso sua dúvida não seja respondida completamente, nosso bot irá te direcionar para um de nossos analistas. 

Ah, só um detalhe: essas informações são para empresas atendidas pelo Customer Service, como aquelas com até 500 colaboradores que têm TotalPass por parceria ou via Simule: https://simule.totalpass.com/br. Se a sua empresa tenha mais de 500 vidas, o contato é feito através do mesmo endereço de e-mail no qual vocês receberam nossas comunicações de implantação. 
"
Qual o SLA de implantação do benefício TotalPass?,"O processo de implantação do benefício TotalPass é concluído em até 12 dias após o recebimento do contrato.

Confira o cronograma por etapa:

Assinatura do termo de adesão (e liberação do canal, se a TotalPass for adquirida por meio de uma parceria) -> 4 dias
A empresa receberá um e-mail de boas-vindas -> 5 dias
Enviamos as informações de cadastro e acesso ao Portal RH -> 3 dias
Enviamos as peças de comunicação para divulgação do benefício na empresa!

Um detalhe importante: essas informações são direcionadas para empresas atendidas pelo Customer Service, como aquelas com até 500 colaboradores que possuem TotalPass por parceria ou via Simule:  https://simule.totalpass.com/br.
"
Quando começa o processo de implantação da TotalPass?,"Se você garantiu seu acesso pelo Simule, fique atento. Após o e-mail de confirmação, em até 4 dias, você receberá nosso E-mail de Boas-Vindas com todas as informações necessárias.

Caso a TotalPass tenha sido adquirida por meio de um parceiro, não esqueça de conversar com eles para saber quando o benefício estará disponível.

Um detalhe importante: essas são direcionadas para empresas atendidas pelo Customer Service, como aquelas com até 500 colaboradores que possuem TotalPass por parceria ou via Simule: https://simule.totalpass.com/br.
"
Não recebi os e-mails de implantação da TotalPass.,"Se nossos e-mails não chegaram, não se preocupe, estamos aqui para ajudar. Primeiro, pedimos que dê uma olhada na caixa de spam. Se não encontrar, nosso time de Customer Service está à disposição para ajudar com o que você precisar.

Caso já tenha verificado e não encontrou, vamos encaminhar você para um dos nossos analistas. É importante lembrar que nosso prazo de resposta é de até 24 horas úteis.

Um detalhe importante: essas informações são direcionadas para empresas atendidas pelo Customer Service, como aquelas com até 500 colaboradores que possuem TotalPass por parceria ou via Simule: https://simule.totalpass.com/br."
Como funciona a renovação do contrato?,"O seu contrato é renovado automaticamente a cada 12 meses, como estabelecido. Isso pode incluir ajustes na taxa, de acordo com o índice de reajuste (IPCA-IGPM). 

Um detalhe importante: as informações passadas são direcionadas para empresas atendidas pelo Customer Service, como aquelas com até 500 colaboradores que possuem TotalPass por parceria ou via Simule:  https://simule.totalpass.com/br.
"
Como funciona o distrato com a TotalPass?,"Quando a empresa decide encerrar a parceria com a TotalPass, basta nos avisar! Vamos solicitar o termo de distrato ao nosso jurídico e enviá-lo para validação e assinatura, sempre respeitando o aviso prévio do contrato. Enquanto isso, informamos todos os usuários ativos (titulares e dependentes) sobre o término da parceria e até quando poderão usar o plano, lembrando que cada um terá sua data de encerramento conforme o ciclo do seu plano.

Um detalhe importante: para quem possui TotalPass através de canal parceiro (Swile, Flash, VR...) é necessário que solicite o distrato para o canal e eles formalizarão conosco. "
A partir de quantos colaboradores posso contratar o benefício?,"A partir de 5 colaboradores, o valor total do investimento varia de acordo com a quantidade de colaboradores."
Existe algum regime de contrato específico que meu colaborador precisa ter para utilizar o benefício?,"Sem restrições! Aceitamos todos os regimes de contrato, CLT, PJ, estagiário e outros. Todos são bem-vindos!
Importante: Caso possuam colaboradores Jovem Aprendiz, o benefício está disponível somente para usuários acima de 16 anos"
Não consegui fazer meu cadastro no Portal RH.,"Não se preocupe, vamos te ajudar.Tentando realizar seu cadastro no Portal RH, mas está enfrentando dificuldades? Nós enviamos um convite para criação de acesso para o e-mail informado no momento da contratação do benefício. Verifique sua caixa de entrada ou SPAM pelo e-mail 'Acesso Portal RH TotalPass'. A partir dele, é só seguir o passo a passo para concluir o cadastro.

Se não encontrar o e-mail, não se preocupe! Nossa equipe está pronta para ajudar. Podemos reenviar o e-mail. Só nos avisar por aqui, por favor."
No meu Portal RH não aparece a opção de validação por base,"Se o seu RH ainda está aprovando cadastros manualmente no Portal e você prefere uma validação automática por meio da base de colaboradores, boa notícia, temos a solução! Solicite a mudança para o nosso time por aqui e torne a validação mais prática e eficiente."
Como faço a validação por base?,"Para garantir que tudo esteja correto, a validação por base deve ser feita periodicamente, sempre que houver mudanças na equipe. Você só precisa do CPF, número de matrícula (apenas se utilizarem na empresa) e CNPJ na base para validar. O upload da base é simples! Confira o passo a passo neste vídeo: https://cloud.info.totalpass.com.br/portal-rh
Observação: O número de matrícula é o que a empresa utiliza com seu colaborador (caso haja), não é gerado pela TotalPass.

"
É necessário incluir as informações de dependentes na base de validação?,Não é necessário incluir as informações de dependentes na base. O cadastro dos dependentes é feito pelos próprios titulares via app em Minhas Conta > Meus Dependentes > Convidar dependente.
Qual a data de fechamento do fee?,"O fee é fechado no dia 10 de cada mês, e você tem 3 dias úteis para nos enviar qualquer contestação ou ajuste necessário.

Ah, só um detalhe: após esse período, o boleto fica disponível no nosso Portal RH, e o pagamento deve ser realizado até o dia 10 do mês seguinte.
"
