title,content
Quais academias estão inclusas em cada plano?,"Para verificar quais são as academias disponíveis em cada plano, basta acessar a aba de academias no app e aplicar os filtros que preferir.

"
Como realizar a busca de academias disponíveis nos planos pelo app?,"Para verificar quais são as academias disponíveis em cada plano, basta acessar a aba de academias no app e aplicar os filtros que preferir.

"
Peças de comunicação para a divulgação do benefício na minha empresa.,"É hora de espalhar a boa notícia! Na página inicial do Portal RH, você pode baixar materiais para e-mail e post. É muito fácil! Basta seguir o passo a passo:

1. Acesse o Portal RH;
2. Vá até a aba 'Divulgação';
3. Selecione a arte e comece a divulgar o benefício para o seu time.

Um detalhe importante: essas informações são direcionadas para empresas atendidas pelo Customer Service, como aquelas com até 500 colaboradores que possuem TotalPass por parceria ou via Simule: https://simule.totalpass.com/br.

"
Como cadastrar colaboradores?,"Adicione novos beneficiários de maneira simples! Basta subir a base de colaboradores no TotalPass via ""validação por base"" dentro do Portal RH. Isso ajuda a garantir que os processos sejam precisos e sem erros. Basta seguir o passo a passo que vamos enviar agora:

- Acesse o Portal RH: Portal RH TotalPass;
- No menu lateral, clique em “Atualizar base”;
- Selecione um modelo de arquivo para download (é necessário utilizar um dos arquivos-modelo); 
- O modelo de arquivo é o template que você usará para formatar o arquivo Excel da sua base de colaboradores, garantindo que seja processada corretamente no Portal RH; 
- Apague o número de CPF e CNPJ que vem como exemplo no arquivo e insira os dados de seus colaboradores e empresa no mesmo formato;
ATENÇÃO: É muito importante que o arquivo não sofra nenhum tipo de formatação, como alterar a fonte, cor ou tamanho dos textos"". Você deve informar somente o CPNJ da empresa e CPF dos colaboradores, sem acrescentar nenhum outro dado;
- Faça upload da base no portal;
- Aguarde a análise; 
- O Portal RH carregará os registros dos colaboradores da planilha;
- Revise os dados para aprovar ou rejeitar;
- Quando terminar a análise, clique em ""Revisar relatório"" para aprovar ou recusar as mudanças. Se tudo estiver ok, clique em ""Confirmar atualização"" e autorize o envio!
- Com a base atualizada, seus colaboradores já podem realizar o cadastro no app para utilizar o benefício;
- Os colaboradores só aparecerão na aba de beneficiários após efetuarem o cadastro no aplicativo.

Dois detalhes importantes:

1. Você pode acessar todos os seus registros de importação e visualizar o relatório aprovado sempre que precisar, basta ir até ""Histórico de atualizações"".

2. O Portal RH vai comparar sua nova base de dados com a anterior para identificar quem não está mais no time. Assim que a nova base for validada, os colaboradores ausentes serão retirados do benefício. Sendo assim, a base enviada terá função tanto para incluir novos colaboradores quanto retirar e/ou manter os atuais, por isso, os usuários que devem permanecer no benefício deverão constar na base em todas os envios.

Quer saber mais sobre o processo de cadastro do colaborador? Continue lendo abaixo:

Depois de encerrada a contratação, é hora de seus colaboradores darem o próximo passo! Basta seguir o passo a passo abaixo:

- Baixe o app da TotalPass;
- Clique em ""Cadastre-se"";
- Preencha o número do seu CPF;
- Insira o seu e-mail corporativo;
- Coloque a empresa em que trabalha atualmente;
- Agora é hora de adicionar o seu número de celular; você receberá um código de verificação em seu número;
- Preencha os dados pessoais solicitados;
- Crie uma senha;
- Informe seu endereço;

Prontinho, você está na TotalPass.

Um detalhe importante: agora, temos duas possibilidades. Confira abaixo:

Se a empresa escolheu aprovar os colaboradores, o gestor do benefício precisa apenas aprovar as solicitações no Portal RH, e logo depois o benefício estará liberado para uso.

Se a validação dos colaboradores não for necessária, assim que o cadastro estiver concluído, o plano já estará ativo e disponível para uso imediato, sem complicações.
"
Como fazer upgrade e downgrade de vidas?,"Atualizar o número de vidas no seu contrato nunca foi tão fácil! Vamos te explicar o passo a passo. O fluxo apresentado abaixo é aplicável para empresas que possuem o benefício contratado de forma direta. Para aqueles que tem o benefício através de uma empresa parceira (Swile, VR, Flash...), essa alteração deverá ser feita diretamente com o canal parceiro.

No Portal RH você pode fazer o upgrade ou downgrade do número de colaboradores cadastrados com apenas alguns cliques. 

Acesse a plataforma;
inicie fazendo o login na sua conta no Portal RH;
Em seguida, vá para a página inicial;
Localize a seção “Seu Contrato TotalPass”;
Depois, selecione a opção “Fazer Upgrade” para iniciar o processo.

Após clicar em “Fazer Upgrade”, uma caixa será exibida, permitindo que você selecione a quantidade de vidas que deseja adicionar ao seu contrato. Depois de selecionar a quantidade de vidas, verifique se todas as informações estão corretas e clique em “Confirmação” para efetuar a mudança.

Com a confirmação feita, seu contrato será atualizado automaticamente com as novas configurações, e um aviso ou confirmação na tela indicará que o upgrade foi realizado com sucesso.

Um detalhe importante: para realizar o downgrade, é só seguir os mesmos passos, selecionando a quantidade de vidas que você deseja reduzir.


"
Como realizar o desligamento de colaboradores?,"Para desligar um colaborador (inativar seu cadastro) você possui dois caminhos: 
 
1. Desligar de forma manual: Vá à aba “Beneficiários”, procure o colaborador e clique em “desligar”. Este passo só vale para quem possui cadastro no app.
2. Atualização de base: Suba uma nova base sem informar o CPF do colaborador que deseja inativar. Assim, o sistema irá comparar a base atual com a anterior e desligar o CPF que não foi incluído. 
Se precisar de mais alguma coisa, estamos aqui para ajudar!"
Como é feito o cadastro do colaborador no aplicativo?,"Após a finalização da contratação, é essencial realizar a atualização da base de dados assim que nosso time enviar o acesso ao Portal RH. Isso porque os colaboradores só poderão acessar o benefício se estiverem 'autorizados' através da atualização da base feitas pelo RH.

Depois disso, seus colaboradores podem seguir com o próximo passo! Vamos te mostrar abaixo:

Baixe o app da TotalPass;
Clique em 'Cadastre-se';
Preencha o número do CPF;
Insira o e-mail corporativo ou pessoal;
Selecione a empresa onde trabalha;
Adicione o número de celular para receber o código de verificação;
Complete os dados pessoais solicitados;
Crie uma senha;
Informe o endereço;
Pronto! Você já está na TotalPass.

Ah, temos duas opções para o próximo passo:

Se a empresa optou por aprovar os colaboradores, o gestor do benefício precisará apenas aprovar as solicitações no Portal RH, e o benefício será liberado em seguida.
Se a validação não for necessária, o plano estará ativo assim que o cadastro for finalizado, pronto para uso imediato.

"
Um colaborador desligado pode ser incluído no fechamento mensal?,"Para definir se um colaborador desligado será incluído no fechamento mensal, é necessário verificar a data de término do ciclo vigente dele. Se o ciclo se encerrar no dia 10 ou depois, o colaborador será lançado no fechamento deste mês. Caso o ciclo termine até o dia 09, não haverá cobrança.

Por exemplo, se o ciclo do colaborador vai de 15/08 a 14/09 e ele foi desligado em 12/09, ele será incluído no fechamento de setembro (10/09), pois o ciclo ultrapassa o dia 10."
Como faço para cadastrar colaboradores na TotalPass e garantir que eles apareçam como beneficiários?,"Para cadastrar os colaboradores para uso do benefício TotalPass é feito em duas etapas:

O primeiro passo é fazer o envio da base de colaboradores dentro do Portal RH seguindo o passo a passo abaixo: 

Ao acessar o Portal RH com o e-mail cadastrado e a senha, você deve ir no menu localizado à esquerda, na opção “Atualizar Base”. Ao clicar, selecione um modelo de base para baixar (Precisa ser no formato: .csv ou .xlsx). Ao baixar o modelo desejado, abra este arquivo e em uma coluna deverá colocar o CPF dos colaboradores que poderão utilizar o benefício e na outra, o CNPJ da empresa.
Importante: faça apenas a inclusão dos dados, não formate ou altere o padrão do arquivo. 

Salve estas informações e faça o upload da base e depois clique em “Iniciar análise”.
Por fim (Confirme a atualização) você deverá clicar em “revisar relatório” para conferência e aprovação do envio da base.
Neste momento, os colaboradores que estão dentro da planilha enviada estão aptos a aderir TotalPass, porém, o segundo passo é que eles baixem o app e sigam o passo a passo do cadastro em “criar conta”, assim, eles poderão usar o benefício da TotalPass.

Lembre-se, ao cadastrar a base em nosso Portal RH não fará com que eles apareçam na aba de beneficiários. Eles aparecerão somente após eles se cadastrarem no app e se vincularem à empresa. Exemplo: Você importou uma base com 20 colaboradores e somente 3 apareceram. Isso significa que somente os 3 realizaram o cadastro no app."
Como o RH aprova o cadastro de colaboradores no Portal RH para que eles possam aderir aos planos da TotalPass?,"Para realizar o cadastro dos colaboradores, basta fazer a aprovação deles manualmente no Portal RH, na aba de ""Solicitações"". Lembre-se de aprovar somente aqueles que fazem parte do quadro atual de colaboradores.

Explique que, para essa solicitação chegar ao RH o colaborador terá que fazer o cadastro diretamente no aplicativo e selecionar sua empresa por lá. Ao completar o cadastro, a aprovação do cadastro do colaborador ficará pendente dentro do Portal RH, devendo ser liberada pelo RH quando reconhecer o colaborador. Assim, ele poderá fazer a adesão dos planos da TotalPass. Caso tenha uma solicitação não reconhecida, basta recusar.
"
